,host_country,game_year,event,medal_type,athlete_country
288,japan,2020,wrestling - women's freestyle 68kg,bronze,ukraine
289,japan,2020,wrestling - women's freestyle 68kg,gold,usa
290,japan,2020,wrestling - women's freestyle 50kg,bronze,usa
291,japan,2020,wrestling - women's freestyle 50kg,gold,japan
292,japan,2020,wrestling - women's freestyle 50kg,silver,china
293,japan,2020,wrestling - women's freestyle 50kg,bronze,azerbaijan
294,japan,2020,wrestling - men's greco-roman 67kg,gold,iran
295,japan,2020,wrestling - men's greco-roman 67kg,silver,ukraine
296,japan,2020,wrestling - men's greco-roman 67kg,bronze,germany
297,japan,2020,wrestling - men's greco-roman 67kg,bronze,egypt
298,japan,2020,wrestling - women's freestyle 76kg,gold,germany
299,japan,2020,wrestling - women's freestyle 76kg,silver,usa
300,japan,2020,wrestling - women's freestyle 76kg,bronze,turkey
301,japan,2020,wrestling - women's freestyle 76kg,bronze,china
302,japan,2020,wrestling - men's greco-roman 130kg,silver,georgia
303,japan,2020,wrestling - men's greco-roman 130kg,bronze,turkey
304,japan,2020,wrestling - men's greco-roman 130kg,bronze,roc
305,japan,2020,wrestling - men's greco-roman 130kg,gold,cuba
306,japan,2020,wrestling - men's greco-roman 87kg,gold,ukraine
307,japan,2020,wrestling - men's greco-roman 87kg,silver,hungary
308,japan,2020,wrestling - men's greco-roman 87kg,bronze,germany
309,japan,2020,wrestling - men's greco-roman 87kg,bronze,serbia
310,japan,2020,wrestling - men's greco-roman 60kg,silver,japan
311,japan,2020,wrestling - men's greco-roman 60kg,bronze,china
312,japan,2020,wrestling - men's greco-roman 60kg,bronze,roc
313,japan,2020,wrestling - men's greco-roman 60kg,gold,cuba
314,japan,2020,wrestling - women's freestyle 57kg,gold,japan
315,japan,2020,wrestling - women's freestyle 57kg,silver,belarus
316,japan,2020,wrestling - women's freestyle 57kg,bronze,usa
317,japan,2020,wrestling - women's freestyle 57kg,bronze,bulgaria
318,japan,2020,wrestling - men's freestyle 125kg,silver,georgia
319,japan,2020,wrestling - men's freestyle 125kg,bronze,turkey
320,japan,2020,wrestling - men's freestyle 125kg,bronze,iran
321,japan,2020,wrestling - men's freestyle 125kg,gold,usa
322,japan,2020,wrestling - women's freestyle 62kg,bronze,bulgaria
323,japan,2020,wrestling - women's freestyle 62kg,silver,kyrgyzstan
324,japan,2020,wrestling - women's freestyle 62kg,bronze,ukraine
325,japan,2020,wrestling - women's freestyle 62kg,gold,japan
326,japan,2020,wrestling - men's freestyle 97kg,bronze,cuba
327,japan,2020,wrestling - men's freestyle 97kg,silver,usa
328,japan,2020,wrestling - men's freestyle 97kg,gold,roc
329,japan,2020,wrestling - men's freestyle 97kg,bronze,italy
330,japan,2020,tennis - men's singles,gold,germany
331,japan,2020,tennis - men's singles,silver,roc
332,japan,2020,tennis - men's singles,bronze,spain
333,japan,2020,tennis - women's singles,silver,czechia
334,japan,2020,tennis - women's singles,gold,switzerland
335,japan,2020,tennis - women's singles,bronze,ukraine
336,japan,2020,artistic gymnastics - women's vault,silver,usa
337,japan,2020,artistic gymnastics - women's vault,gold,brazil
338,japan,2020,artistic gymnastics - women's vault,bronze,south korea
339,japan,2020,artistic gymnastics - men's all-around,bronze,roc
340,japan,2020,artistic gymnastics - men's all-around,gold,japan
341,japan,2020,artistic gymnastics - men's all-around,silver,china
342,japan,2020,artistic gymnastics - women's balance beam,bronze,usa
343,japan,2020,artistic gymnastics - women's balance beam,gold,china
344,japan,2020,artistic gymnastics - women's balance beam,silver,china
345,japan,2020,artistic gymnastics - women's all-around,bronze,roc
346,japan,2020,artistic gymnastics - women's all-around,gold,usa
347,japan,2020,artistic gymnastics - women's all-around,silver,brazil
348,japan,2020,artistic gymnastics - men's horizontal bar,gold,japan
349,japan,2020,artistic gymnastics - men's horizontal bar,bronze,roc
350,japan,2020,artistic gymnastics - men's horizontal bar,silver,croatia
351,japan,2020,artistic gymnastics - men's pommel horse,bronze,japan
352,japan,2020,artistic gymnastics - men's pommel horse,gold,great britain
353,japan,2020,artistic gymnastics - men's pommel horse,silver,chinese taipei
354,japan,2020,artistic gymnastics - men's vault,silver,roc
355,japan,2020,artistic gymnastics - men's vault,bronze,armenia
356,japan,2020,artistic gymnastics - men's vault,gold,south korea
357,japan,2020,artistic gymnastics - women's floor exercise,gold,usa
358,japan,2020,artistic gymnastics - women's floor exercise,silver,italy
359,japan,2020,artistic gymnastics - women's floor exercise,bronze,roc
360,japan,2020,artistic gymnastics - women's floor exercise,bronze,japan
361,japan,2020,artistic gymnastics - women's uneven bars,gold,belgium
362,japan,2020,artistic gymnastics - women's uneven bars,bronze,usa
363,japan,2020,artistic gymnastics - women's uneven bars,silver,roc
364,japan,2020,artistic gymnastics - men's parallel bars,bronze,turkey
365,japan,2020,artistic gymnastics - men's parallel bars,gold,china
366,japan,2020,artistic gymnastics - men's parallel bars,silver,germany
367,japan,2020,artistic gymnastics - men's floor exercise,silver,spain
368,japan,2020,artistic gymnastics - men's floor exercise,gold,israel
369,japan,2020,artistic gymnastics - men's floor exercise,bronze,china
370,japan,2020,artistic gymnastics - men's rings,gold,china
371,japan,2020,artistic gymnastics - men's rings,bronze,greece
372,japan,2020,artistic gymnastics - men's rings,silver,china
373,japan,2020,golf - women's individual stroke play,silver,japan
374,japan,2020,golf - women's individual stroke play,bronze,new zealand
375,japan,2020,golf - women's individual stroke play,gold,usa
376,japan,2020,golf - men's individual stroke play,silver,slovakia
377,japan,2020,golf - men's individual stroke play,bronze,chinese taipei
378,japan,2020,golf - men's individual stroke play,gold,usa
379,japan,2020,cycling bmx freestyle - women's park,bronze,switzerland
380,japan,2020,cycling bmx freestyle - women's park,gold,great britain
381,japan,2020,cycling bmx freestyle - women's park,silver,usa
382,japan,2020,cycling bmx freestyle - men's park,gold,australia
383,japan,2020,cycling bmx freestyle - men's park,silver,venezuela
384,japan,2020,cycling bmx freestyle - men's park,bronze,great britain
385,japan,2020,judo - women -57 kg,gold,kosovo
386,japan,2020,judo - women -57 kg,silver,france
387,japan,2020,judo - women -57 kg,bronze,japan
388,japan,2020,judo - women -57 kg,bronze,canada
389,japan,2020,judo - women +78 kg,bronze,france
390,japan,2020,judo - women +78 kg,bronze,azerbaijan
391,japan,2020,judo - women +78 kg,gold,japan
392,japan,2020,judo - women +78 kg,silver,cuba
393,japan,2020,judo - women -70 kg,bronze,roc
394,japan,2020,judo - women -70 kg,gold,japan
395,japan,2020,judo - women -70 kg,bronze,netherlands
396,japan,2020,judo - women -70 kg,silver,austria
397,japan,2020,judo - women -78 kg,gold,japan
398,japan,2020,judo - women -78 kg,silver,france
399,japan,2020,judo - women -78 kg,bronze,brazil
