,medal_type,participant_type,athlete_country,host_country,game_year
557,gold,Athlete,bahamas,japan,2020
558,bronze,Athlete,jamaica,japan,2020
559,silver,Athlete,jamaica,japan,2020
560,gold,Athlete,jamaica,japan,2020
561,gold,Athlete,kenya,japan,2020
562,bronze,Athlete,united states of america,japan,2020
563,silver,Athlete,kenya,japan,2020
564,bronze,Athlete,spain,japan,2020
565,silver,Athlete,portugal,japan,2020
566,gold,Athlete,venezuela,japan,2020
567,silver,Athlete,kenya,japan,2020
568,bronze,Athlete,poland,japan,2020
569,gold,Athlete,kenya,japan,2020
570,bronze,Athlete,new zealand,japan,2020
571,gold,Athlete,people's republic of china,japan,2020
572,silver,Athlete,united states of america,japan,2020
573,silver,Athlete,colombia,japan,2020
574,bronze,Athlete,people's republic of china,japan,2020
575,gold,Athlete,italy,japan,2020
576,gold,Athlete,united states of america,japan,2020
577,silver,Athlete,roc,japan,2020
578,bronze,Athlete,great britain,japan,2020
579,silver,Athlete,people's republic of china,japan,2020
580,gold,Athlete,poland,japan,2020
581,bronze,Athlete,poland,japan,2020
582,gold,Athlete,puerto rico,japan,2020
583,bronze,Athlete,jamaica,japan,2020
584,silver,Athlete,united states of america,japan,2020
585,bronze,Athlete,belarus,japan,2020
586,gold,Athlete,italy,japan,2020
587,gold,Athlete,qatar,japan,2020
588,gold,Athlete,united states of america,japan,2020
589,silver,Athlete,germany,japan,2020
590,bronze,Athlete,cuba,japan,2020
591,silver,Athlete,bahrain,japan,2020
592,gold,Athlete,netherlands,japan,2020
593,bronze,Athlete,ethiopia,japan,2020
594,gold,Athlete,poland,japan,2020
595,silver,Athlete,norway,japan,2020
596,bronze,Athlete,poland,japan,2020
597,bronze,Athlete,kenya,japan,2020
598,silver,Athlete,ethiopia,japan,2020
599,gold,Athlete,morocco,japan,2020
600,gold,Athlete,united states of america,japan,2020
601,bronze,Athlete,united states of america,japan,2020
602,silver,Athlete,great britain,japan,2020
603,gold,Athlete,canada,japan,2020
604,silver,Athlete,france,japan,2020
605,bronze,Athlete,australia,japan,2020
606,bronze,Athlete,canada,japan,2020
607,gold,Athlete,italy,japan,2020
608,silver,Athlete,united states of america,japan,2020
609,bronze,Athlete,brazil,japan,2020
610,silver,Athlete,united states of america,japan,2020
611,gold,Athlete,sweden,japan,2020
612,bronze,Athlete,netherlands,japan,2020
613,gold,Athlete,united states of america,japan,2020
614,silver,Athlete,united states of america,japan,2020
615,gold,Athlete,ethiopia,japan,2020
616,silver,Athlete,uganda,japan,2020
617,bronze,Athlete,uganda,japan,2020
618,gold,Athlete,norway,japan,2020
619,bronze,Athlete,brazil,japan,2020
620,silver,Athlete,united states of america,japan,2020
621,gold,Athlete,sweden,japan,2020
622,bronze,Athlete,austria,japan,2020
623,silver,Athlete,sweden,japan,2020
624,silver,Athlete,namibia,japan,2020
625,bronze,Athlete,united states of america,japan,2020
626,gold,Athlete,jamaica,japan,2020
627,bronze,Athlete,ukraine,japan,2020
628,gold,Athlete,roc,japan,2020
629,silver,Athlete,australia,japan,2020
630,silver,Athlete,japan,japan,2020
631,bronze,Athlete,japan,japan,2020
632,gold,Athlete,italy,japan,2020
633,bronze,Athlete,grenada,japan,2020
634,silver,Athlete,colombia,japan,2020
635,gold,Athlete,bahamas,japan,2020
636,bronze,Athlete,netherlands,japan,2020
637,gold,Athlete,belgium,japan,2020
638,silver,Athlete,netherlands,japan,2020
639,silver,Athlete,kenya,japan,2020
640,gold,Athlete,norway,japan,2020
641,bronze,Athlete,great britain,japan,2020
642,silver,Athlete,canada,japan,2020
643,bronze,Athlete,united states of america,japan,2020
644,gold,Athlete,uganda,japan,2020
645,bronze,Athlete,australia,japan,2020
646,silver,Athlete,united states of america,japan,2020
647,gold,Athlete,united states of america,japan,2020
